Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
BCM-Techno Functional Lending-Senior,EY,7-12 Yrs,Not disclosed,Bengaluru,Experience of working with people from different geographies (actual international expe...,"Assurance, Coding, Project management, Analytical, Consulting, Presales, Project planning, Continuous improvement",1 Day Ago,https://www.naukri.com/job-listings-bcm-techno-functional-lending-senior-ernst-young-bengaluru-7-to-12-years-181224500188
BCM-Finacle-Manager-IJP,EY,7-12 Yrs,Not disclosed,Bengaluru,. . We are the only professional services organization who has a separate business dedi...,"Production support, Project management, Consulting, Agile, Presales, Project planning, Asset management, JIRA",1 Day Ago,https://www.naukri.com/job-listings-bcm-finacle-manager-ijp-ernst-young-bengaluru-7-to-12-years-181224500187
ABAP Developer - CIS Engineering,SAP,2-7 Yrs,Not disclosed,Bengaluru,Regular Full Time . Expected Travel: . 0 - 10% . com. For SAP employees: Only permanent...,"Computer science, Software design, Customer satisfaction, Analytical, Cloud, Javascript, Scrum, Agile methodology",1 Day Ago,https://www.naukri.com/job-listings-abap-developer-cis-engineering-sap-india-pvt-ltd-bengaluru-2-to-7-years-181224500088
Backend Developer,Quest Global,4-7 Yrs,Not disclosed,Bengaluru,"Bachelor's degree in Computer Science or related field, 5+ years in software developmen...","Terraform, Aws Lambda, aws services, Python, AWS IAM, Lambda Expressions, Backend Development, AWS",1 Day Ago,https://www.naukri.com/job-listings-backend-developer-quest-global-bengaluru-4-to-7-years-181224018674
DevOps Engineer,Quest Global,4-9 Yrs,Not disclosed,Bengaluru,"Qualifications: . Bachelors Degree in Computer Science, Information Technology, or rela...","Cloud Services, Devops, Python, Cloud",1 Day Ago,https://www.naukri.com/job-listings-devops-engineer-quest-global-bengaluru-4-to-9-years-181224018641
Senior Control Management Specialist,Wells Fargo,4-8 Yrs,Not disclosed,Bengaluru,"Bachelors degree in Computer Science, Information Systems, or equivalentExperience revi...","CCSK, CISSP, Risk Management, Information Security risk, Risk Assessment, CISA, Control System, CRISC",Few Hours Ago,https://www.naukri.com/job-listings-senior-control-management-specialist-wells-fargo-bengaluru-4-to-8-years-181224018380
Software Engineer,Wells Fargo,2-5 Yrs,Not disclosed,Hyderabad,"Certification in Google / Azure Cloud, AWS Associate level / Pivotal Cloud Foundry (PCF...","Java, REST, Kafka, J2EE, Microservices, Unit Testing, OOAD, Web Application Development",Today,https://www.naukri.com/job-listings-software-engineer-wells-fargo-hyderabad-2-to-5-years-181224017694
Quality Engineer,Lloyds Technology Centre,6-11 Yrs,18-32.5 Lacs PA,Hybrid - Hyderabad,You have good knowledge of modern software development toolsets including cloud hosting...,"Github, Playwright, Ci/Cd, Web Automation Testing, Jenkins, Harness, Burp Suite, Load Runner",1 Day Ago,https://www.naukri.com/job-listings-quality-engineer-lloyds-technology-centre-hyderabad-6-to-11-years-181224016775
Devops Engineer,Lloyds Technology Centre,2-7 Yrs,8-18 Lacs PA,Hybrid - Hyderabad,You have good knowledge of modern software development toolsets including cloud hosting...,"GCP, Devops, Kubernetes, Jenkins, GKE adminstration, Terraform, Shell Scripting, Powershell",1 Day Ago,https://www.naukri.com/job-listings-devops-engineer-lloyds-technology-centre-hyderabad-2-to-7-years-181224016226
Urgent Opening For Data Analytics with Celonis process mining,Creative Synergies,5-9 Yrs,8-18 Lacs PA,Bengaluru(Whitefield),"Dear Candidates, We are looking for 5+ years of experience in Celonis Process Mining wi...","Celonis, Power Bi, Process Mining, Data Analytics, Data, Analytics, Bi, Data mining",1 Day Ago,https://www.naukri.com/job-listings-urgent-opening-for-data-analytics-with-celonis-process-mining-creative-synergies-bengaluru-5-to-9-years-181224014971
